,Depth,Well,Formation,GR,RS,RD,NPHI,RHOB,DTCO,DTSM,Ef_pred,Facies_pred,Env_pred
46,4633.0,B-1,Echuca Shoals Fm,82.0906,2.0152,2.009,22.18,2.639,87.4453,,1,1,4
47,4633.5,B-1,Echuca Shoals Fm,83.7051,2.2969999999999997,2.2888,22.35,2.6426,85.98100000000002,,1,1,4
48,4634.0,B-1,Echuca Shoals Fm,82.1019,2.2142,2.2124,24.07,2.6284,86.8769,,1,1,4
49,4634.5,B-1,Echuca Shoals Fm,82.0656,2.5639,2.5164,21.79,2.5916,86.116,,1,1,4
50,4635.0,B-1,Echuca Shoals Fm,73.9846,2.5755,2.5535,22.21,2.6074,87.6987,,1,1,4
51,4635.5,B-1,Echuca Shoals Fm,90.4113,2.4304,2.4319,21.12,2.6119,90.4448,,1,1,4
52,4636.0,B-1,Echuca Shoals Fm,105.1342,2.525,2.5118,22.6,2.6082,91.0077,,1,1,4
53,4636.5,B-1,Echuca Shoals Fm,80.8171,2.4812,2.4737,24.04,2.6171,87.9386,,1,1,4
54,4637.0,B-1,Echuca Shoals Fm,82.5455,2.6034,2.6023,22.81,2.6094,87.085,,1,1,4
55,4637.5,B-1,Echuca Shoals Fm,73.1178,2.3983,2.4019999999999997,25.11,2.5977,89.4773,,1,1,4
56,4638.0,B-1,Echuca Shoals Fm,87.4133,2.4596,2.4414,23.33,2.6036,87.6363,,1,1,4
57,4638.5,B-1,Echuca Shoals Fm,84.6303,2.738,2.6419,24.64,2.6005,89.9575,,1,1,4
58,4639.0,B-1,Echuca Shoals Fm,96.189,2.4605,2.4343,22.74,2.6137,88.8351,,1,1,4
59,4639.5,B-1,Echuca Shoals Fm,83.5263,2.3583,2.3297,25.16,2.6238,91.6419,,1,1,4
60,4640.0,B-1,Echuca Shoals Fm,84.8374,2.4457,2.4151,25.38,2.6028,91.3704,,1,1,4
61,4640.5,B-1,Echuca Shoals Fm,84.6918,2.5241,2.4814,24.98,2.5921,89.5791,,1,1,4
62,4641.0,B-1,Echuca Shoals Fm,96.3585,2.6697,2.6319999999999997,21.92,2.6456,91.0897,,1,1,4
63,4641.5,B-1,Echuca Shoals Fm,96.6909,2.5228,2.4878,21.77,2.6266,90.2254,,1,1,4
64,4642.0,B-1,Echuca Shoals Fm,98.958,2.6091,2.5807,24.55,2.6209,91.0767,,1,1,4
65,4642.5,B-1,Echuca Shoals Fm,94.9846,2.6912,2.6667,23.37,2.6104,90.9,,1,1,4
66,4643.0,B-1,Echuca Shoals Fm,98.4559,2.5273,2.5124,22.92,2.6104,90.6669,,1,1,4
67,4643.5,B-1,Echuca Shoals Fm,92.1224,2.5603,2.5371,23.8,2.6021,87.2514,,1,1,4
68,4644.0,B-1,Echuca Shoals Fm,92.0783,2.5669,2.5241,25.39,2.5846,88.7707,,1,1,4
69,4644.5,B-1,Echuca Shoals Fm,95.9705,2.5754,2.5326,24.98,2.6017,92.7778,,1,1,4
70,4645.0,B-1,Echuca Shoals Fm,84.4499,2.5951,2.5693,23.79,2.615,92.0061,,1,1,4
71,4645.5,B-1,Echuca Shoals Fm,85.539,2.59,2.591,27.57,2.6173,93.4729,,1,1,4
72,4646.0,B-1,Echuca Shoals Fm,92.3094,2.5435,2.5176,26.05,2.6098,91.7603,,1,1,4
73,4646.5,B-1,Echuca Shoals Fm,92.8006,2.5263,2.4611,27.03,2.6236,94.1265,,1,1,4
74,4647.0,B-1,Echuca Shoals Fm,91.7149,2.4225,2.4143,26.85,2.6329,91.1218,,1,1,4
75,4647.5,B-1,Echuca Shoals Fm,91.6662,2.3277,2.4061,26.05,2.616,93.2374,,1,1,4
76,4648.0,B-1,Echuca Shoals Fm,96.709,2.1183,2.1737,25.51,2.6430000000000002,91.4686,,1,1,4
77,4648.5,B-1,Echuca Shoals Fm,103.4119,2.1767,2.2125,27.21,2.6149,90.5824,,1,1,4
78,4649.0,B-1,Echuca Shoals Fm,107.7593,2.1509,2.1807,25.74,2.6105,91.5391,,1,1,4
79,4649.5,B-1,Echuca Shoals Fm,107.7645,2.4744,2.4817,26.0,2.5905,91.9513,,1,1,4
80,4650.0,B-1,Echuca Shoals Fm,100.2726,2.2899,2.2656,22.86,2.5966,92.9861,,1,1,4
81,4650.5,B-1,Echuca Shoals Fm,99.5618,2.5628,2.5402,23.19,2.5887,89.7364,,1,1,4
82,4651.0,B-1,Echuca Shoals Fm,91.9794,2.6206,2.5763,23.42,2.6011,92.5062,,1,1,4
83,4651.5,B-1,Echuca Shoals Fm,102.1966,2.418,2.3677,24.08,2.6248,92.0325,,1,1,4
84,4652.0,B-1,Echuca Shoals Fm,84.5284,2.5247,2.4572,23.49,2.6218,89.456,,1,1,4
85,4652.5,B-1,Echuca Shoals Fm,88.4628,2.6966,2.6165,23.5,2.5896,87.9919,,1,1,4
86,4653.0,B-1,Echuca Shoals Fm,97.1767,2.7326,2.6687,23.29,2.5797,87.6021,,1,1,4
87,4653.5,B-1,Echuca Shoals Fm,114.5524,2.5864,2.5311,24.48,2.5888,87.7223,,1,1,4
88,4654.0,B-1,Echuca Shoals Fm,101.6742,2.3824,2.2893,25.98,2.5966,91.3579,,1,1,4
89,4654.5,B-1,Echuca Shoals Fm,88.1939,2.5958,2.5388,24.04,2.5957,89.7812,,1,1,4
90,4655.0,B-1,Echuca Shoals Fm,100.2275,2.6842,2.7061,21.94,2.5929,95.7392,,1,1,4
91,4655.5,B-1,Echuca Shoals Fm,94.7401,2.9705,2.8008,27.58,2.5658,92.21700000000001,,1,1,4
92,4656.0,B-1,Echuca Shoals Fm,116.0322,3.9160000000000004,3.5099,23.92,2.5685,92.5607,,1,1,4
93,4656.5,B-1,Echuca Shoals Fm,103.4278,7.8539,7.2569,25.45,2.572,92.3641,,1,1,4
94,4657.0,B-1,Echuca Shoals Fm,94.2861,3.2127,3.2065,25.14,2.5934,92.5407,,1,1,4
95,4657.5,B-1,Echuca Shoals Fm,108.1447,2.8393,2.7523,26.97,2.597,91.8498,,1,1,4
96,4658.0,B-1,Echuca Shoals Fm,92.3706,2.5408,2.5433,26.81,2.5954,90.5558,,1,1,4
97,4658.5,B-1,Echuca Shoals Fm,106.9329,2.3845,2.39,25.95,2.6063,92.3551,,1,1,4
98,4659.0,B-1,Echuca Shoals Fm,97.2762,2.5682,2.5724,26.46,2.5914,92.7151,,1,1,4
99,4659.5,B-1,Echuca Shoals Fm,102.5873,2.6658,2.678,27.5,2.5865,89.3459,,1,1,4
100,4660.0,B-1,Echuca Shoals Fm,104.9834,2.5064,2.4944,24.44,2.5835,89.3201,,1,1,4
101,4660.5,B-1,Echuca Shoals Fm,98.1797,2.504,2.4855,25.41,2.5868,87.6227,,1,1,4
102,4661.0,B-1,Echuca Shoals Fm,99.9961,2.4608,2.4462,25.02,2.6007,90.2523,,1,1,4
103,4661.5,B-1,Echuca Shoals Fm,103.8641,2.58,2.5442,26.7,2.5916,89.5435,,1,1,4
104,4662.0,B-1,Echuca Shoals Fm,96.0868,2.5634,2.5294,26.64,2.5875,88.3479,,1,1,4
105,4662.5,B-1,Echuca Shoals Fm,102.8084,2.4574,2.4322,28.79,2.6136,79.2575,,1,1,4
106,4663.0,B-1,Echuca Shoals Fm,96.7893,2.4676,2.3972,24.35,2.6248,89.4582,,1,1,4
107,4663.5,B-1,Echuca Shoals Fm,95.8579,2.6983,2.648,24.97,2.5918,84.6593,,1,1,4
108,4664.0,B-1,Echuca Shoals Fm,101.5695,2.9818,3.1531,25.62,2.6154,84.9033,,1,1,4
109,4664.5,B-1,Echuca Shoals Fm,91.7657,2.5839,2.6928,26.43,2.5855,84.4325,,1,1,4
110,4665.0,B-1,Echuca Shoals Fm,77.6148,2.8176,2.9481,23.67,2.5758,84.78,,1,1,4
111,4665.5,B-1,Vulcan Fm,79.4626,8.9822,9.4464,17.32,2.6651,85.8529,,2,1,4
112,4666.0,B-1,Vulcan Fm,100.727,9.2343,8.3762,21.22,2.6658,85.5914,,1,1,4
113,4666.5,B-1,Vulcan Fm,84.6188,4.6331,4.7674,20.93,2.6631,84.7444,,1,1,4
114,4667.0,B-1,Vulcan Fm,98.8332,3.0956,3.0929,20.55,2.6861,86.1779,,1,1,4
115,4667.5,B-1,Vulcan Fm,95.2791,3.1369,3.0054,20.51,2.6517,87.3176,,1,1,4
116,4668.0,B-1,Vulcan Fm,95.23200000000001,3.2045,3.1079,20.36,2.6649,84.3332,,1,1,4
117,4668.5,B-1,Vulcan Fm,93.1924,2.7694,2.6972,19.67,2.6648,83.7005,,1,1,4
118,4669.0,B-1,Vulcan Fm,99.7416,2.8924,2.7682,19.2,2.6775,86.1996,,1,1,4
119,4669.5,B-1,Vulcan Fm,109.4126,2.8889,2.7812,19.67,2.6505,84.31200000000003,,1,1,4
120,4670.0,B-1,Vulcan Fm,93.139,2.7644,2.6872,20.84,2.6531,83.8561,,1,1,4
