Depth,Well,Formation,GR,NPHI,RHOB,DTCO,DTSM,Environment
4636.5,P-2,Montara Fm,77.1397,12.6565,2.6319,74.7795,-999.25,4
4637,P-2,Montara Fm,76.4278,12.2775,2.6272,75.361,-999.25,4
4637.5,P-2,Montara Fm,81.686,12.3735,2.633,74.0605,-999.25,4
4638,P-2,Montara Fm,88.0694,13.5849,2.6354,75.6735,-999.25,4
4638.5,P-2,Montara Fm,92.7584,15.5223,2.6682,74.1325,-999.25,4
4639,P-2,Montara Fm,101.1172,18.2771,2.6547,81.3937,-999.25,4
4639.5,P-2,Montara Fm,113.233,19.9521,2.6416,81.7605,-999.25,4
4640,P-2,Montara Fm,108.4497,19.6939,2.6483,79.1911,-999.25,4
4640.5,P-2,Montara Fm,102.6104,18.6958,2.697,78.2751,-999.25,4
4641,P-2,Montara Fm,113.8221,23.2572,2.6405,83.5633,-999.25,4
4641.5,P-2,Montara Fm,110.6675,22.0424,2.6392,82.4014,-999.25,4
4642,P-2,Montara Fm,100.4406,20.9727,2.6673,79.7282,-999.25,4
4642.5,P-2,Montara Fm,111.6065,23.7096,2.6745,84.1918,-999.25,4
4643,P-2,Montara Fm,116.0927,25.4888,2.6451,86.9028,-999.25,4
4643.5,P-2,Montara Fm,113.9419,23.4628,2.6428,80.3417,-999.25,4
4644,P-2,Montara Fm,111.0827,21.1898,2.6605,81.4666,-999.25,4
4644.5,P-2,Montara Fm,114.178,21.912,2.6333,83.0296,-999.25,4
4645,P-2,Montara Fm,115.1665,22.0534,2.6447,78.9232,-999.25,4
4645.5,P-2,Montara Fm,90.9955,18.1079,2.8193,77.1312,-999.25,0
4646,P-2,Montara Fm,119.9958,22.6996,2.6501,83.2515,-999.25,0
4646.5,P-2,Montara Fm,118.8108,22.9279,2.6376,83.7315,-999.25,0
4647,P-2,Montara Fm,117.7605,22.7904,2.6458,83.4741,-999.25,0
4647.5,P-2,Montara Fm,121.5674,21.2868,2.6525,83.0006,-999.25,0
4648,P-2,Montara Fm,119.7824,21.4701,2.6431,82.6388,-999.25,0
4648.5,P-2,Montara Fm,115.6983,20.8508,2.6418,81.0356,-999.25,0
4649,P-2,Montara Fm,116.9592,22.3522,2.6582,82.9808,-999.25,0
4649.5,P-2,Montara Fm,125.3529,22.0916,2.6374,84.7832,-999.25,0
4650,P-2,Montara Fm,118.042,21.1431,2.6512,83.7748,-999.25,0
4650.5,P-2,Montara Fm,122.0755,21.7983,2.65,83.5351,-999.25,0
4651,P-2,Montara Fm,124.3706,20.8988,2.6389,84.2796,-999.25,0
4651.5,P-2,Montara Fm,120.3089,17.4755,2.6208,79.3403,-999.25,0
4652,P-2,Montara Fm,118.4811,16.9467,2.6187,78.4016,-999.25,0
4652.5,P-2,Montara Fm,105.9796,14.9804,2.6952,73.7058,-999.25,0
4653,P-2,Montara Fm,77.7029,11.4565,2.6548,68.1024,-999.25,0
4653.5,P-2,Montara Fm,77.62,11.506,2.6071,74.9269,-999.25,0
4654,P-2,Montara Fm,97.2085,17.4438,2.5983,86.8868,-999.25,0
4654.5,P-2,Montara Fm,149.3956,24.103,2.617,84.8666,-999.25,0
4655,P-2,Montara Fm,147.7948,23.2275,2.6281,79.6048,-999.25,0
4655.5,P-2,Montara Fm,142.3679,23.8123,2.6375,81.2476,-999.25,0
4656,P-2,Montara Fm,136.5124,24.8787,2.6196,80.8743,-999.25,0
4656.5,P-2,Montara Fm,133.4717,23.8208,2.6452,81.17,-999.25,0
4657,P-2,Montara Fm,131.6368,25.8197,2.6347,81.0517,-999.25,0
4657.5,P-2,Montara Fm,128.2212,26.1503,2.6247,80.5033,-999.25,0
4658,P-2,Montara Fm,123.043,24.6211,2.6275,81.2722,-999.25,0
4658.5,P-2,Montara Fm,120.3928,24.7797,2.6777,77.7821,-999.25,0
4659,P-2,Montara Fm,132.0444,25.7668,2.632,81.5804,-999.25,0
4659.5,P-2,Montara Fm,129.401,26.2535,2.6412,81.543,-999.25,0
4660,P-2,Montara Fm,124.6977,24.1108,2.6392,79.9015,-999.25,0
4660.5,P-2,Montara Fm,125.3819,25.5873,2.6426,78.7392,-999.25,4
