Depth,Well,Formation,GR,RS,RD,NPHI,RHOB,DTCO,DTSM,Electrofacies
4629.5,P-2,Montara Fm,116.4731,1.4599,1.4177,24.3653,2.6128,86.7717,-999.25,1
4630,P-2,Montara Fm,113.1672,1.5941,1.5727,24.8738,2.6276,89.1019,-999.25,1
4630.5,P-2,Montara Fm,103.9047,1.7011,1.6956,22.1947,2.6354,84.0463,-999.25,1
4631,P-2,Montara Fm,91.0845,2.301,2.2165,19.6886,2.6613,77.7979,-999.25,1
4631.5,P-2,Montara Fm,94.9658,1.9817,2.0134,19.4116,2.6342,78.6802,-999.25,1
4632,P-2,Montara Fm,91.5697,2.2009,2.1753,15.7346,2.6589,78.7131,-999.25,1
4632.5,P-2,Montara Fm,88.0567,2.1005,2.0389,17.7633,2.6502,77.6448,-999.25,1
4633,P-2,Montara Fm,99.1983,2.3007,2.2438,16.1787,2.6549,80.9688,-999.25,1
4633.5,P-2,Montara Fm,114.0077,2.1762,2.1562,19.5428,2.6547,83.3287,-999.25,1
4634,P-2,Montara Fm,115.8139,1.9644,1.9595,22.3294,2.6355,85.9056,-999.25,1
4634.5,P-2,Montara Fm,109.4419,1.9379,1.8954,22.3734,2.6444,85.0261,-999.25,1
4635,P-2,Montara Fm,109.7445,2.1257,2.0739,23.1755,2.6839,82.9853,-999.25,1
4635.5,P-2,Montara Fm,116.6268,1.8563,1.8579,22.6217,2.6303,85.5064,-999.25,1
4636,P-2,Montara Fm,109.8986,2.3335,2.288,18.0566,2.6309,80.6659,-999.25,1
4636.5,P-2,Montara Fm,77.1397,3.1416,3.1136,12.6565,2.6319,74.7795,-999.25,1
4637,P-2,Montara Fm,76.4278,3.7114,3.5502,12.2775,2.6272,75.361,-999.25,1
4637.5,P-2,Montara Fm,81.686,3.3436,3.2363,12.3735,2.633,74.0605,-999.25,1
4638,P-2,Montara Fm,88.0694,3.0081,3.011,13.5849,2.6354,75.6735,-999.25,1
4638.5,P-2,Montara Fm,92.7584,2.7516,2.7173,15.5223,2.6682,74.1325,-999.25,1
4639,P-2,Montara Fm,101.1172,2.362,2.3853,18.2771,2.6547,81.3937,-999.25,1
4639.5,P-2,Montara Fm,113.233,2.0166,2.0181,19.9521,2.6416,81.7605,-999.25,1
4640,P-2,Montara Fm,108.4497,2.0747,2.0759,19.6939,2.6483,79.1911,-999.25,1
4640.5,P-2,Montara Fm,102.6104,2.5044,2.4009,18.6958,2.697,78.2751,-999.25,1
4641,P-2,Montara Fm,113.8221,1.861,1.8304,23.2572,2.6405,83.5633,-999.25,1
4641.5,P-2,Montara Fm,110.6675,1.9467,1.9616,22.0424,2.6392,82.4014,-999.25,1
4642,P-2,Montara Fm,100.4406,2.019,1.946,20.9727,2.6673,79.7282,-999.25,1
4642.5,P-2,Montara Fm,111.6065,1.88,1.8572,23.7096,2.6745,84.1918,-999.25,1
4643,P-2,Montara Fm,116.0927,1.6383,1.6512,25.4888,2.6451,86.9028,-999.25,1
4643.5,P-2,Montara Fm,113.9419,1.9701,1.9294,23.4628,2.6428,80.3417,-999.25,1
4644,P-2,Montara Fm,111.0827,2.2746,2.2431,21.1898,2.6605,81.4666,-999.25,1
4644.5,P-2,Montara Fm,114.178,2.0773,2.1132,21.912,2.6333,83.0296,-999.25,1
4645,P-2,Montara Fm,115.1665,2.1828,2.0997,22.0534,2.6447,78.9232,-999.25,1
4645.5,P-2,Montara Fm,90.9955,2.852,2.7609,18.1079,2.8193,77.1312,-999.25,1
4646,P-2,Montara Fm,119.9958,2.0938,2.044,22.6996,2.6501,83.2515,-999.25,1
4646.5,P-2,Montara Fm,118.8108,1.8506,1.8487,22.9279,2.6376,83.7315,-999.25,1
4647,P-2,Montara Fm,117.7605,1.9631,1.9433,22.7904,2.6458,83.4741,-999.25,1
4647.5,P-2,Montara Fm,121.5674,1.8221,1.7904,21.2868,2.6525,83.0006,-999.25,1
