Depth,Well,Formation,GR,RS,RD,NPHI,RHOB,DTCO,DTSM,Electrofacies
4961,P-2,Plover Fm,78.9808,10.8696,11.1793,25.3639,2.7121,63.9728,116.7056,2
4961.5,P-2,Plover Fm,103.7984,20.787,22.1869,25.0178,2.6699,71.7663,125.0171,2
4962,P-2,Plover Fm,85.863,14.0256,14.1067,29.1013,2.6108,63.6723,113.8025,2
4962.5,P-2,Plover Fm,71.6596,13.5086,13.3902,23.9597,2.6924,64.4389,118.0075,2
4963,P-2,Plover Fm,102.9727,25.5086,25.7678,24.5627,2.7205,74.5005,134.3922,2
4963.5,P-2,Plover Fm,98.036,11.559,11.7713,33.2889,2.6439,70.0748,126.2054,2
4964,P-2,Plover Fm,100.8844,8.6063,8.8489,31.1187,2.6271,70.7025,127.968,2
4964.5,P-2,Plover Fm,119.2646,11.773,12.6394,31.6576,2.6464,74.9748,138.8261,2
4965,P-2,Plover Fm,132.9833,11.574,12.1283,38.206,2.6487,76.4146,140.7431,2
4965.5,P-2,Plover Fm,114.1233,8.0038,7.9873,39.4657,2.6057,71.6869,135.0818,2
4966,P-2,Plover Fm,132.3253,8.0333,7.6727,37.542,2.6664,76.6661,142.4454,2
4966.5,P-2,Plover Fm,140.2097,11.2078,11.1387,38.6442,2.666,78.4298,147.3902,2
4967,P-2,Plover Fm,126.0443,9.4963,9.5962,42.7034,2.6093,72.6818,128.4856,2
4967.5,P-2,Plover Fm,99.0579,9.5333,9.4362,41.1723,2.6552,63.5206,110.3389,2
4968,P-2,Plover Fm,91.0317,13.8435,14.4132,26.6953,2.7565,62.6087,104.271,2
4968.5,P-2,Plover Fm,75.8968,27.0873,30.364,18.0022,2.6974,62.7204,106.1493,2
4969,P-2,Plover Fm,74.6567,24.6705,25.553,16.1272,2.687,64.64,111.972,2
4969.5,P-2,Plover Fm,86.3033,20.2,20.615,19.8937,2.6555,64.8722,115.4962,2
4970,P-2,Plover Fm,114.3887,26.1951,28.2151,21.2147,2.6718,72.5834,124.6395,2
4970.5,P-2,Plover Fm,87.4048,13.7111,14.0001,27.8831,2.6265,69.3693,120.1557,2
4971,P-2,Plover Fm,82.3895,14.7782,15.5006,23.2368,2.6656,64.0151,113.6342,2
4971.5,P-2,Plover Fm,97.5999,16.2234,16.0124,21.4561,2.66,70.3296,120.6019,2
4972,P-2,Plover Fm,82.8982,17.9864,17.9627,23.7808,2.6503,64.617,111.7552,2
4972.5,P-2,Plover Fm,79.4088,13.8593,13.8766,19.1881,2.6314,64.3022,111.0279,2
4973,P-2,Plover Fm,89.1438,28.718,29.3473,18.6693,2.6996,66.2048,111.971,2
4973.5,P-2,Plover Fm,85.7094,18.8779,17.8224,20.8163,2.6484,64.9013,112.0457,2
4974,P-2,Plover Fm,89.0536,19.6834,19.9323,20.1884,2.6639,66.4748,112.0466,2
4974.5,P-2,Plover Fm,81.482,17.0366,17.2012,20.1473,2.6488,64.7798,111.2579,2
4975,P-2,Plover Fm,74.337,18.5863,19.0444,18.7074,2.6879,62.8423,105.2307,2
4975.5,P-2,Plover Fm,77.9263,20.8262,21.174,17.1482,2.6374,64.6401,110.845,2
4976,P-2,Plover Fm,73.9061,31.9523,32.7358,18.5865,2.7075,62.5152,105.4629,2
4976.5,P-2,Plover Fm,69.886,18.4136,17.0198,16.5476,2.663,63.1143,105.0196,2
4977,P-2,Plover Fm,80.3367,25.6394,24.5271,16.1706,2.6423,64.701,111.9541,2
4977.5,P-2,Plover Fm,74.0626,24.5423,25.8168,18.8355,2.6762,64.2186,107.0173,2
4978,P-2,Plover Fm,75.1355,17.2349,19.7171,18.6062,2.6545,62.4497,107.2208,2
4978.5,P-2,Plover Fm,87.9708,18.0543,21.2921,16.7566,2.6928,66.8514,112.4415,2
4979,P-2,Plover Fm,85.112,16.7383,15.9671,20.1727,2.6489,64.5607,111.2918,2
4979.5,P-2,Plover Fm,79.6818,13.4671,15.76,18.804,2.6638,64.5026,111.0714,2
4980,P-2,Plover Fm,94.816,17.353,16.9938,18.6674,2.6822,66.6139,115.2794,2
4980.5,P-2,Plover Fm,90.2863,17.65,19.7198,20.1873,2.6748,67.1486,114.4416,2
4981,P-2,Plover Fm,83.6961,15.7786,19.8629,20.8167,2.6554,65.7266,112.7336,2
4981.5,P-2,Plover Fm,65.3917,18.3059,18.9627,19.4528,2.644,63.2656,106.6326,2
4982,P-2,Plover Fm,63.193,20.0031,20.687,14.6653,2.6462,59.4901,104.1188,2
4982.5,P-2,Plover Fm,72.4215,34.5278,37.7256,12.8101,2.6975,61.1,103.9904,2
4983,P-2,Plover Fm,90.1608,36.2594,35.0785,14.2695,2.6773,66.474,112.0199,2
4983.5,P-2,Plover Fm,84.1332,30.3456,29.7982,20.086,2.6623,65.1421,111.8845,2
4984,P-2,Plover Fm,97.516,15.8047,15.4434,20.2966,2.6447,65.9141,114.7651,2
4984.5,P-2,Plover Fm,114.0912,25.1595,25.78,24.4034,2.665,72.9499,126.2916,2
4985,P-2,Plover Fm,100.3878,13.5342,13.4628,27.3166,2.6263,70.6496,121.2947,2
4985.5,P-2,Plover Fm,83.9154,9.5772,9.3758,26.1753,2.6536,64.8091,111.8135,2
4986,P-2,Plover Fm,77.3395,13.0623,13.0988,18.7049,2.6679,64.4177,106.3955,2
4986.5,P-2,Plover Fm,67.7592,20.6513,20.7493,16.5915,2.6582,61.4891,104.8526,2
4987,P-2,Plover Fm,79.654,24.2332,24.3914,16.0361,2.6862,65.4164,111.3852,2
4987.5,P-2,Plover Fm,93.5277,29.5252,29.8368,17.4072,2.6768,67.4688,115.0054,2
4988,P-2,Plover Fm,91.7764,14.3287,15.2346,22.5349,2.6546,68.762,120.3418,2
4988.5,P-2,Plover Fm,99.4421,12.6487,14.7786,25.4452,2.6687,68.9259,117.3577,2
4989,P-2,Plover Fm,89.1627,12.1924,13.812,23.7998,2.6701,67.8853,114.4697,2
4989.5,P-2,Plover Fm,81.2428,13.1936,14.2317,22.4497,2.6594,65.855,112.2256,2
4990,P-2,Plover Fm,98.755,15.3892,17.0395,20.091,2.6635,68.5432,114.4554,2
4990.5,P-2,Plover Fm,89.5705,14.9822,16.8132,22.2544,2.6336,66.3602,110.6662,2
4991,P-2,Plover Fm,72.257,16.4318,18.7681,19.628,2.6496,61.509,104.2343,2
4991.5,P-2,Plover Fm,82.2308,19.6246,20.2927,17.1404,2.6715,64.5236,105.7526,2
4992,P-2,Plover Fm,69.4947,28.9512,29.8917,16.7931,2.635,62.36,104.8018,2
4992.5,P-2,Plover Fm,59.9102,24.4177,24.5602,15.2542,2.6572,61.4044,103.7707,2
4993,P-2,Plover Fm,68.7472,31.044,31.643,14.0822,2.6824,63.2979,104.2352,2
4993.5,P-2,Plover Fm,60.7908,30.3388,30.444,15.5613,2.684,60.0298,103.7334,2
4994,P-2,Plover Fm,59.8838,25.1833,25.6384,13.3453,2.6539,61.109,103.5228,2
4994.5,P-2,Plover Fm,59.5601,38.514,40.9757,13.5143,2.674,60.3902,104.174,2
4995,P-2,Plover Fm,71.2387,39.9102,42.2164,13.1774,2.6929,64.292,104.9489,2
4995.5,P-2,Plover Fm,64.3981,23.0889,24.702,15.7705,2.6561,62.6422,104.9262,2
4996,P-2,Plover Fm,69.2615,26.1572,28.4097,14.7885,2.6829,63.2383,105.2367,2
4996.5,P-2,Plover Fm,68.9612,22.2598,23.8191,15.9981,2.6666,64.2966,105.9789,2
4997,P-2,Plover Fm,65.4123,21.8519,24.4057,15.9115,2.6939,61.7952,104.0426,2
4997.5,P-2,Plover Fm,76.1378,18.497,19.14,16.3231,2.6648,64.5005,105.4744,2
4998,P-2,Plover Fm,65.7156,28.0118,30.3194,15.4108,2.6455,62.4498,105.9907,2
4998.5,P-2,Plover Fm,72.8834,19.9419,20.3697,16.656,2.663,64.7341,109.3357,2
4999,P-2,Plover Fm,59.2312,19.9297,20.1919,17.2203,2.6813,62.3105,106.3548,2
4999.5,P-2,Plover Fm,70.8541,18.2522,18.5686,15.9044,2.6794,64.3364,111.8093,2
5000,P-2,Plover Fm,72.1481,21.6433,22.2194,16.5074,2.6817,64.6779,112.0627,2
5000.5,P-2,Plover Fm,80.8769,20.1622,20.8089,17.728,2.6889,65.9699,114.6826,2
5001,P-2,Plover Fm,85.029,20.323,20.7747,18.0767,2.6845,66.6644,113.1542,2
5001.5,P-2,Plover Fm,67.6957,14.0347,14.0728,21.6959,2.6697,62.4898,107.0716,2
5002,P-2,Plover Fm,84.5609,19.5675,20.1835,17.6684,2.6845,65.5706,112.1986,2
5002.5,P-2,Plover Fm,77.1527,24.7176,26.7699,17.3457,2.6765,65.2129,113.189,2
5003,P-2,Plover Fm,78.6549,16.6532,16.6508,19.7086,2.6769,66.3119,113.6795,2
5003.5,P-2,Plover Fm,74.0579,18.6692,18.8361,19.9918,2.6737,64.1433,113.7797,2
5004,P-2,Plover Fm,80.1613,16.2647,16.3165,20.2095,2.693,66.4004,114.5369,2
5004.5,P-2,Plover Fm,83.9372,14.3552,14.3054,21.472,2.675,66.486,114.0046,2
5005,P-2,Plover Fm,79.4837,15.4958,15.5394,21.1909,2.6788,64.9192,112.1559,2
5005.5,P-2,Plover Fm,76.5818,17.0598,16.6993,19.6823,2.6603,64.5791,112.8373,2
5006,P-2,Plover Fm,91.0313,17.2055,16.5227,20.0659,2.6901,66.5183,112.1646,2
5006.5,P-2,Plover Fm,69.3955,14.9258,14.3,19.8198,2.662,61.4485,107.2773,2
5007,P-2,Plover Fm,72.0018,19.6184,18.8304,16.7378,2.7417,62.9577,105.4074,2
5007.5,P-2,Plover Fm,73.0774,20.9583,19.5318,16.022,2.7009,62.9124,104.3035,2
5008,P-2,Plover Fm,74.6089,23.2445,21.7002,15.6805,2.6686,62.604,106.6941,2
5008.5,P-2,Plover Fm,78.9965,21.6387,20.2261,16.1588,2.6801,61.3278,112.8098,2
5009,P-2,Plover Fm,86.9182,19.9863,19.4708,17.6699,2.6899,68.332,119.7501,2
5009.5,P-2,Plover Fm,90.4603,15.1694,16.1268,25.2286,2.7273,68.621,127.6509,2
5010,P-2,Plover Fm,87.1155,12.9571,14.04,26.9951,2.6772,67.3124,124.1584,2
5010.5,P-2,Plover Fm,86.8179,12.5234,13.3499,25.747,2.6999,68.331,127.1926,2
5011,P-2,Plover Fm,97.8212,12.1652,12.3207,26.4553,2.7058,70.6218,130.928,2
5011.5,P-2,Plover Fm,97.2567,10.2765,10.2366,29.1843,2.6529,70.354,127.241,2
5012,P-2,Plover Fm,88.8902,9.8703,9.7932,27.5646,2.6644,68.9949,125.496,2
5012.5,P-2,Plover Fm,101.1477,9.641,9.5635,26.6392,2.6949,70.5388,124.6593,2
5013,P-2,Plover Fm,91.6003,9.4045,9.4188,26.5218,2.6681,67.1476,120.6534,2
5013.5,P-2,Plover Fm,83.3558,11.1951,11.5888,24.2483,2.6791,66.459,120.0755,2
5014,P-2,Plover Fm,92.1015,14.0548,15.5674,22.6989,2.7151,68.599,123.1789,2
5014.5,P-2,Plover Fm,86.7706,10.615,11.1051,25.0254,2.6973,68.1935,120.7135,2
5015,P-2,Plover Fm,78.4392,9.5427,9.87,22.2826,2.7248,64.4396,113.6132,2
5015.5,P-2,Plover Fm,83.5603,17.3066,18.79,20.64,2.7064,64.5651,113.4641,2
5016,P-2,Plover Fm,97.3881,18.039,19.2906,21.1276,2.6686,68.4865,119.6716,2
5016.5,P-2,Plover Fm,98.9281,14.6849,15.3804,23.7617,2.6429,68.3504,119.9471,2
5017,P-2,Plover Fm,78.8576,13.9052,14.5571,23.4023,2.6613,64.9615,115.0568,2
5017.5,P-2,Plover Fm,85.2176,15.802,16.407,22.7406,2.7071,68.0912,119.2928,2
5018,P-2,Plover Fm,83.0212,16.419,17.4442,24.3525,2.6783,64.4794,112.9867,2
5018.5,P-2,Plover Fm,74.371,16.9164,17.6417,19.8697,2.711,64.3366,111.8971,2
5019,P-2,Plover Fm,79.0749,20.6272,20.6215,19.568,2.6972,64.4693,112.401,2
5019.5,P-2,Plover Fm,78.457,16.225,15.8765,20.8846,2.7235,65.6324,113.9156,2
5020,P-2,Plover Fm,79.3007,16.3578,16.1957,22.0358,2.7278,63.4108,113.8854,2
5020.5,P-2,Plover Fm,83.8302,16.6534,16.4849,20.9174,2.7881,65.2482,112.0371,2
5021,P-2,Plover Fm,74.951,15.4502,15.1847,18.7652,2.7114,64.3779,106.0242,2
5021.5,P-2,Plover Fm,70.1217,19.121,18.1921,17.0012,2.6565,62.4495,104.9757,2
5022,P-2,Plover Fm,69.3613,25.6563,24.7765,16.1908,2.6556,62.4908,104.4219,2
5022.5,P-2,Plover Fm,64.6245,28.717,28.7266,15.5164,2.683,61.2423,102.6646,2
5023,P-2,Plover Fm,68.6781,29.1823,29.38,14.8193,2.6736,62.2771,103.8097,2
5023.5,P-2,Plover Fm,80.998,28.4769,28.6918,16.9815,2.6493,64.4114,106.6643,2
5024,P-2,Plover Fm,84.9805,22.6555,23.7307,19.502,2.6597,64.4763,111.3879,2
5024.5,P-2,Plover Fm,85.692,20.6801,21.3896,19.9738,2.7156,66.8548,112.7209,2
5025,P-2,Plover Fm,71.2565,16.9567,17.2611,19.9003,2.6581,63.1476,107.1177,2
5025.5,P-2,Plover Fm,78.7621,19.709,20.3394,19.2048,2.7457,64.4957,105.3979,2
5026,P-2,Plover Fm,77.79,20.046,20.7509,17.2169,2.7238,62.404,103.8627,2
5026.5,P-2,Plover Fm,70.2453,22.8397,24.3335,15.8208,2.7294,62.7782,101.7302,2
5027,P-2,Plover Fm,69.9014,16.1365,16.5685,13.4799,2.6588,60.6378,98.9427,2
5027.5,P-2,Plover Fm,73.9293,25.0358,25.9972,13.6876,2.6748,60.8099,99.489,2
5028,P-2,Plover Fm,69.9614,19.8174,19.0148,12.4125,2.6341,61.4409,98.4875,2
5028.5,P-2,Plover Fm,74.9497,23.442,21.975,12.8987,2.6801,61.5929,101.1276,2
5029,P-2,Plover Fm,71.7528,22.3,20.4449,11.3508,2.6765,60.0805,97.7362,2
5029.5,P-2,Plover Fm,61.2454,28.1399,26.8188,11.3624,2.6949,60.3436,98.7283,2
5030,P-2,Plover Fm,62.1871,24.9179,23.6148,10.697,2.7199,60.5144,96.7131,2
5030.5,P-2,Plover Fm,58.6495,30.5586,29.453,9.4435,2.6975,62.2828,97.9158,2
5031,P-2,Plover Fm,58.9146,28.7192,26.9725,10.4613,2.6556,63.522,101.697,2
5031.5,P-2,Plover Fm,65.3789,28.0863,27.0666,10.9456,2.6534,62.801,99.172,2
5032,P-2,Plover Fm,60.4691,24.7422,25.0507,10.4401,2.6401,59.3467,88.7228,2
5032.5,P-2,Plover Fm,56.2821,26.556,26.8312,9.7732,2.6144,60.4936,86.6267,2
5033,P-2,Plover Fm,53.0037,29.8362,30.2114,8.5342,2.3823,62.339,104.8411,2
5033.5,P-2,Plover Fm,79.0428,43.1305,44.4235,8.2232,2.2534,63.4369,109.5851,2
5034,P-2,Plover Fm,96.8312,24.4236,23.6407,11.3166,2.683,63.1397,110.5565,2
5034.5,P-2,Plover Fm,92.2911,20.4573,19.468,14.5153,2.7017,63.1853,102.5246,2
5035,P-2,Plover Fm,88.8179,20.7594,20.1797,14.2409,2.6982,63.1506,103.0848,2
5035.5,P-2,Plover Fm,94.8357,22.4138,21.5234,14.3928,2.6966,60.9417,104.177,2
5036,P-2,Plover Fm,97.6301,27.0167,27.6568,14.888,2.7166,63.3063,104.7988,2
5036.5,P-2,Plover Fm,121.5202,21.4587,21.5447,20.6201,2.7722,64.4252,106.2231,2
5037,P-2,Plover Fm,102.5217,20.2461,20.298,25.9361,2.8063,62.293,105.1676,2
5037.5,P-2,Plover Fm,105.9848,34.1935,34.3302,29.2029,2.8858,60.663,104.2158,2
5038,P-2,Plover Fm,87.2725,80.1559,71.2065,30.3912,2.9644,62.2912,102.9983,2
5038.5,P-2,Plover Fm,62.0308,134.9112,118.3323,25.1879,2.8333,64.4098,91.5262,2
5039,P-2,Plover Fm,48.6987,47.9051,52.2718,18.4033,2.6994,64.493,75.9703,2
5039.5,P-2,Plover Fm,38.5351,23.0896,33.1527,15.6494,2.4541,66.3969,97.4472,2
5040,P-2,Plover Fm,50.2627,27.5517,28.3506,10.2731,2.392,64.872,106.7808,2
5040.5,P-2,Plover Fm,86.8635,23.6439,23.6539,11.3878,2.5064,65.1094,104.0596,2
5041,P-2,Plover Fm,73.0252,21.5126,22.5014,13.7297,2.4477,68.3921,122.0023,2
5041.5,P-2,Plover Fm,59.478,23.5002,24.8607,13.054,2.6392,68.5016,112.012,2
5042,P-2,Plover Fm,71.8307,23.2295,21.7705,14.653,2.5819,66.5329,104.1066,2
5042.5,P-2,Plover Fm,74.5741,27.2578,26.1718,18.4708,2.6474,62.6044,94.2634,2
5043,P-2,Plover Fm,57.7468,32.0785,30.0696,18.909,2.5111,64.7351,97.3821,2
5043.5,P-2,Plover Fm,51.7624,36.9484,28.4665,14.6061,2.5727,65.483,99.3988,2
5044,P-2,Plover Fm,44.6255,44.6028,28.0908,12.2673,2.5478,68.2484,98.5783,2
5044.5,P-2,Plover Fm,50.0367,37.028,28.3762,11.5867,2.5641,65.4218,99.2249,2
5045,P-2,Plover Fm,50.8411,27.1721,25.1711,10.9925,2.5048,61.644,96.142,2
5045.5,P-2,Plover Fm,51.3322,35.3963,32.6182,8.9462,2.5626,63.5207,97.623,2
5046,P-2,Plover Fm,48.5046,48.7143,47.1239,7.6388,2.6128,66.7008,98.1615,2
5046.5,P-2,Plover Fm,53.4657,42.1663,35.0555,7.8595,2.4954,61.2462,98.3066,2
5047,P-2,Plover Fm,66.7361,34.1982,22.6368,9.2683,2.6294,65.3311,98.0781,2
5047.5,P-2,Plover Fm,51.7644,34.5037,21.4188,8.4579,2.5558,67.2489,99.0988,2
5048,P-2,Plover Fm,57.2372,34.7262,20.6785,8.3794,2.5365,66.2316,98.8339,2
5048.5,P-2,Plover Fm,53.2759,26.6888,18.76,8.4361,2.608,66.5862,101.5455,2
5049,P-2,Plover Fm,51.5845,31.828,21.0383,9.69,2.5822,59.207,95.6612,2
5049.5,P-2,Plover Fm,65.107,53.9617,40.6972,8.1119,2.5703,64.3225,96.3556,2
5050,P-2,Plover Fm,45.0029,42.2732,24.7666,7.2167,2.5815,67.1335,97.1982,2
5050.5,P-2,Plover Fm,44.5652,70.2377,32.9889,8.4938,2.5006,58.4527,92.053,2
5051,P-2,Plover Fm,52.1628,92.4374,60.0641,9.1674,2.57,59.5087,93.4876,2
5051.5,P-2,Plover Fm,62.3521,47.7056,36.6555,6.4321,2.5297,59.3251,92.0784,2
5052,P-2,Plover Fm,50.867,63.4758,44.5312,7.1203,2.5393,62.4368,91.4526,2
5052.5,P-2,Plover Fm,46.7882,100.1371,68.5927,7.0346,2.4197,60.478,93.6702,2
5053,P-2,Plover Fm,64.4522,86.375,41.0996,7.5404,2.5951,63.7213,95.7119,2
5053.5,P-2,Plover Fm,51.1007,100.7222,36.6498,10.6187,2.4553,62.6998,95.9841,2
5054,P-2,Plover Fm,67.6674,85.3862,35.2236,8.3536,2.5989,62.3846,96.8756,2
5054.5,P-2,Plover Fm,43.1062,57.2642,19.6481,8.484,2.5152,65.5632,94.4992,2
5055,P-2,Plover Fm,37.7218,75.7119,26.9202,8.2257,2.5542,53.1449,90.031,2
5055.5,P-2,Plover Fm,64.9227,78.9953,42.106,6.0655,2.2965,65.1176,95.1014,2
5056,P-2,Plover Fm,53.1935,51.2104,23.143,7.5358,2.2338,66.9289,96.8907,2
5056.5,P-2,Plover Fm,44.6188,46.0608,19.3492,12.0482,2.4568,66.4497,98.0046,2
5057,P-2,Plover Fm,52.0426,51.7225,19.7523,11.9622,2.4818,64.3977,97.1889,2
5057.5,P-2,Plover Fm,70.7319,45.1815,25.7132,10.3725,2.4787,65.0888,98.0036,2
5058,P-2,Plover Fm,53.0447,23.472,18.7957,10.4648,2.5609,66.7306,98.4215,2
5058.5,P-2,Plover Fm,50.273,21.4637,19.5313,9.1729,2.5558,68.8338,101.3228,2
5059,P-2,Plover Fm,63.3083,23.4698,21.2705,10.5221,2.497,62.3337,97.1947,2
5059.5,P-2,Plover Fm,50.6709,21.8742,19.4676,8.3311,2.5763,67.5962,103.8175,2
5060,P-2,Plover Fm,52.4298,21.3296,18.8126,8.0059,2.6211,64.6329,98.8672,2
5060.5,P-2,Plover Fm,47.8623,21.3076,18.6306,6.9873,2.6392,59.326,95.9011,2
5061,P-2,Plover Fm,55.6454,46.1796,45.0072,5.9499,2.6119,65.3557,104.0285,2
5061.5,P-2,Plover Fm,54.1017,18.8084,15.9818,6.7498,2.5436,68.4709,103.77,2
5062,P-2,Plover Fm,71.6351,19.3399,16.2624,8.5601,2.6002,63.4019,102.158,2
5062.5,P-2,Plover Fm,73.2503,17.1347,15.399,10.4321,2.64,65.1908,103.1854,2
5063,P-2,Plover Fm,86.0241,17.7484,17.6081,9.8461,2.4985,66.5197,98.4934,2
5063.5,P-2,Plover Fm,92.6928,19.2774,20.3773,9.21,2.5081,60.5087,96.3014,2
5064,P-2,Plover Fm,63.2356,17.16,17.1353,10.2289,2.7086,62.3224,96.6706,2
5064.5,P-2,Plover Fm,77.9035,18.401,17.9788,8.5914,2.6652,62.7003,96.9908,2
5065,P-2,Plover Fm,67.9764,18.2673,18.149,9.0845,2.6166,64.8029,96.5471,2
5065.5,P-2,Plover Fm,81.0434,19.8992,21.4177,6.9857,2.5923,63.191,96.161,2
5066,P-2,Plover Fm,98.5853,20.0811,20.1265,9.1079,2.7165,59.4986,96.6461,2
5066.5,P-2,Plover Fm,64.9171,20.6087,21.5317,8.8146,2.6963,61.1101,96.9532,2
5067,P-2,Plover Fm,55.5579,20.3351,22.0647,8.2366,2.6452,63.7734,97.6625,2
5067.5,P-2,Plover Fm,83.3454,19.297,20.4693,10.2379,2.4138,66.6375,97.397,2
5068,P-2,Plover Fm,73.9471,24.7718,27.3758,10.0382,2.482,64.4736,98.1709,2
5068.5,P-2,Plover Fm,60.8265,17.3173,17.5636,11.4963,2.6058,64.5156,98.2098,2
5069,P-2,Plover Fm,56.6379,22.7103,23.5126,8.0948,2.526,66.391,98.7108,2
5069.5,P-2,Plover Fm,76.0133,20.3596,20.021,6.9775,2.5349,65.0154,101.8093,2
5070,P-2,Plover Fm,70.8352,21.323,22.2376,7.8585,2.5879,60.2925,95.6477,2
5070.5,P-2,Plover Fm,65.2936,23.1156,23.2608,7.4306,2.5659,60.4633,93.1524,2
5071,P-2,Plover Fm,82.7524,33.9913,35.146,7.746,2.4665,63.5915,94.3251,2
5071.5,P-2,Plover Fm,68.3496,28.003,28.8088,8.1291,2.5394,63.815,95.8161,2
5072,P-2,Plover Fm,85.4732,26.2696,27.3622,8.6603,2.5916,58.7181,96.6103,2
5072.5,P-2,Plover Fm,75.4395,25.0543,26.5634,6.3478,2.5267,62.5508,97.3169,2
5073,P-2,Plover Fm,84.0225,24.531,26.5906,6.8997,2.6432,62.4893,97.5676,2
5073.5,P-2,Plover Fm,66.0765,23.7558,25.4329,6.6652,2.6136,60.1963,96.6349,2
5074,P-2,Plover Fm,81.8101,25.0372,25.8686,6.5385,2.5396,60.453,96.8949,2
5074.5,P-2,Plover Fm,80.2681,23.6011,24.3429,7.8467,2.6589,60.4585,96.9576,2
5075,P-2,Plover Fm,69.5031,22.2518,22.4313,7.1081,2.6498,60.4421,97.4674,2
5075.5,P-2,Plover Fm,79.5132,20.1674,20.5344,6.9607,2.6475,60.3505,96.7966,2
5076,P-2,Plover Fm,73.7181,39.1776,42.046,6.4109,2.6836,61.6268,100.5655,2
5076.5,P-2,Plover Fm,71.9004,18.367,18.1948,6.8308,2.6653,63.2948,102.9673,2
5077,P-2,Plover Fm,68.9935,17.797,17.7746,7.3605,2.5845,64.5293,102.6248,2
5077.5,P-2,Plover Fm,73.9228,18.4243,18.2701,8.316,2.5922,64.4607,102.5086,2
5078,P-2,Plover Fm,85.7721,19.3456,19.6408,7.1706,2.6093,63.5064,103.0964,2
5078.5,P-2,Plover Fm,87.7245,17.4152,17.6791,7.3546,2.6409,62.467,102.302,2
5079,P-2,Plover Fm,70.9946,21.6317,21.9425,8.3745,2.6502,60.7903,101.8449,2
5079.5,P-2,Plover Fm,67.7954,25.2142,25.6746,10.6184,2.705,61.3024,98.8864,2
5080,P-2,Plover Fm,69.5288,23.4741,23.5993,9.3709,2.6512,61.1445,101.1635,2
5080.5,P-2,Plover Fm,79.4774,29.3892,30.1705,8.2833,2.7038,59.0801,90.6225,2
5081,P-2,Plover Fm,76.3328,21.4147,21.5624,7.6312,2.6053,62.4558,107.0696,2
5081.5,P-2,Plover Fm,53.7418,29.5799,28.8716,11.4949,2.7081,60.8063,103.6591,2
5082,P-2,Plover Fm,47.022,56.5335,53.4144,10.9226,2.804,56.1231,94.4233,2
5082.5,P-2,Plover Fm,50.8506,53.0916,50.4705,8.0269,2.6669,59.09,79.0504,2
5083,P-2,Plover Fm,69.2211,25.0234,24.7748,8.8529,2.536,63.4621,98.2399,2
5083.5,P-2,Plover Fm,79.1792,23.893,24.1823,8.1187,2.5789,64.3209,106.4167,2
5084,P-2,Plover Fm,50.4313,21.4885,22.0835,7.7812,2.7004,60.7531,95.1306,2
5084.5,P-2,Plover Fm,64.7727,23.1618,25.5534,8.3101,2.5851,66.2644,114.5712,2
5085,P-2,Plover Fm,48.5271,20.2226,21.3972,8.9544,2.637,63.2529,97.6491,2
5085.5,P-2,Plover Fm,54.9998,17.9332,17.6939,9.775,2.5134,66.6454,105.3381,2
5086,P-2,Plover Fm,51.9106,18.0175,16.6083,9.1312,2.5808,65.0657,104.1344,2
5086.5,P-2,Plover Fm,63.2466,17.4265,16.6664,8.9927,2.6044,64.5061,98.8737,2
5087,P-2,Plover Fm,124.7107,16.6038,17.0257,11.5371,2.6196,64.383,103.8342,2
5087.5,P-2,Plover Fm,84.992,17.9102,18.0732,12.8283,2.5487,58.9861,103.905,2
5088,P-2,Plover Fm,53.8986,12.0701,10.9828,15.0296,2.4511,67.7049,106.3208,2
5088.5,P-2,Plover Fm,87.2109,47.0989,36.3196,8.921,2.5501,69.8512,102.0373,2
5089,P-2,Plover Fm,47.8115,24.9881,19.6087,9.7936,2.4729,65.4486,103.97,2
5089.5,P-2,Plover Fm,72.6908,25.2599,19.5641,8.2208,2.6161,56.7775,97.3971,2
5090,P-2,Plover Fm,48.2435,44.3396,25.1648,8.4807,2.6826,68.9027,101.5326,2
5090.5,P-2,Plover Fm,53.2746,60.14,21.2016,11.3299,2.5,70.7092,105.0605,2
5091,P-2,Plover Fm,47.123,78.7633,18.8836,12.0622,2.4728,68.5542,104.8858,2
5091.5,P-2,Plover Fm,45.4364,121.3899,28.7342,10.087,2.4796,65.381,100.9499,2
5092,P-2,Plover Fm,83.4434,98.4189,39.9882,10.353,2.491,67.0399,98.8203,2
5092.5,P-2,Plover Fm,76.2076,40.1949,30.955,11.3603,2.4677,64.5383,103.8794,2
5093,P-2,Plover Fm,42.5003,16.4406,16.0233,9.2432,2.5906,62.3786,99.0792,2
5093.5,P-2,Plover Fm,39.7744,72.3133,72.4312,5.998,2.4723,60.5996,103.6612,2
5094,P-2,Plover Fm,60.8494,78.4337,54.217,7.7786,2.6281,60.967,102.1597,2
5094.5,P-2,Plover Fm,62.3311,42.0978,21.8338,10.9979,2.6304,62.434,101.7611,2
5095,P-2,Plover Fm,63.5975,29.1335,20.5422,8.5299,1.9228,61.3264,99.1576,2
5095.5,P-2,Plover Fm,112.1714,18.967,16.0974,10.9936,2.2974,66.7434,103.8472,2
5096,P-2,Plover Fm,102.2131,15.2615,9.6924,12.3231,2.4666,73.6393,114.3058,2
5096.5,P-2,Plover Fm,91.5427,11.0692,8.0239,15.1158,2.5714,66.4315,118.5863,2
